chitin cuirass,Chitin Cuirass
TR_m2_q_27_SBlijarra,Lijarra's Left Slave Bracer
TR_m2_q_29_gauntlet_left,Left Gauntlet of Shieldbearing
TR_m2_q_29_gauntlet_right,Right Gauntlet of Blind Rage
TR_m2_q_A9_6_Shield,Solusi's Shield
TR_m2_Sailen_Vulgate_sh,Vulgate
TR_m3-278_a_dwrvhelm,Radack-Dizvir
TR_m3-278_a_rebelbracer_l,Left Hand of Freedom
TR_m3-278_a_rebelbracer_r,Right Hand of Freedom
TR_m3-512_helm,Ice Ward of St. Felms
TR_m3-718 Decorative Armor,Decorative Armor
TR_m3-743_a_DB_Boots,Old Brotherhood Boots
TR_m3-743_a_DB_Cuirass,Old Brotherhood Cuirass
TR_m3-743_a_DB_greaves,Old Brotherhood Greaves
TR_m3-743_a_DB_Helm,Old Brotherhood Helm
TR_m3-758_a_tadrils_temper,Tadril's Temper
TR_m3_A8_rickshaw_helm,Rickshaw Puller Helmet
TR_m3_a_antumbral_shield_uni,Antumbral Shield
TR_m3_Brother_IndorilHelm,Indoril Helm of Verity
TR_m3_calcius_mail_uni,Mail of Calcius Fire-Walker
TR_M3_i605_Greaves,Lucky Helga's Legs
TR_m3_indshield_i3-606-ind,Indoril Guard Shield
TR_m3_lightningboots,Boots of Lightning Speed
TR_m3_OE_a_madhoosa_uni,Shield of Mad-Hoosa's Gaze
TR_m3_OE_CassynderArmor,Cuirass of Cassynder Septim
TR_m3_OE_TG_KatariahDisp01,Death Mask of Empress Katariah
TR_m3_OE_TG_SnowHareBoots,Hhontjulf's Snow Hare Boots
TR_m3_q_ST_Honns_1,Honns' Lockbane Boots
TR_m3_q_ST_Honns_2,Honns' Crotchkicker Boots
TR_m3_q_ST_Honns_3,Honns' Dungfinder Boots
TR_m3_q_ST_Honns_4,Honns' Snowtrekker Boots
TR_m3_speaker_boots,Boots of the Speaker
TR_m3_speaker_cuirass,Heart of the Speaker
TR_m3_speaker_gauntlet_L,Left Hand of the Speaker
TR_m3_speaker_gauntlet_R,Right Hand of the Speaker
TR_m3_speaker_greaves,Greaves of the Speaker
TR_m3_speaker_helm,Helmet of the Speaker
TR_m3_speaker_pauldron_L,Left Pauldron of the Speaker
TR_m3_speaker_pauldron_R,Right Pauldron of the Speaker
TR_m3_steel_fireheart_i3-647,Steel Fireheart
TR_m4-476_hartwigs_grip,Hartwig's Iron Right Grip
TR_m4-518_spellweavers_skins,Spellweaver's Cuirass
TR_m4_A_AlverLegBrace,Nols Alver's Leg Brace
TR_m4_a_Atsiru-Din_Shield_uni,Atsiru-Din's Fire Shield
TR_m4_Ando_MG_Polyhedrascope,Polyhedrascope
TR_m4_AndothTGThreeEyedHelm,Advanced Vault-Stalker Helmet
TR_m4_Hendor_Cuirass,Master Forger's Mail
TR_m4_HH_AND_Demand,Demand
TR_m4_HH_And_Supply,Supply
TR_m4_IL_Bracerleft,Silver Bracer of Diplomacy
TR_m4_IL_Bracerright,Silver Bracer of Assertion
TR_m4_IL_chaincuirass,Chains of Credibility
TR_m4_immetarca_boots,Boots of Wayward Flying
TR_m4_olmshelm_i4-261-hla,Helm of St. Olms
TR_m4_orcish_boots_uni,Goreriders
TR_m4_orcish_helmofbattle_uni,Orcish Helm of Battle
TR_m4_q_ArvenasHelmet,Arvena's Helmet
TR_m4_q_ArvenasHelmet_ar,Arvena's Helmet
TR_m4_RR_VCave_4_Footpads,Explorer's Footpads
TR_m4_Shield_Leftunch,Escutcheon of Duunmarkng
TR_m4_TT_OrcNoCuirass,Orcish Cuirass
TR_m4_TT_OrcNoGreaves,Orcish Greaves
TR_m4_TT_OrcNoHelm,Orcish Helm
TR_m4_UshuDimmuCrown_01,Cursed Crown of Ushu-Dimmu
TR_m4_UshuDimmuCrown_02,Cursed Crown of Ushu-Dimmu
TR_m4_vesidur_helm,Baris' Diving Helmet
AATL_ART_Targe_Blooded,Targe of the Blooded
AATL_ART_Visage_Mzund,Visage of Mzund
AATL_ART_Fearstruck,Fearstruck
AATL_a_buck_chitin,Chitin Buckler
AATL_a_buck_chitin_h,Reinforced Chitin Buckler
AATL_a_buck_dwemer_h,Dwemer Buckler
AATL_a_buck_glass,Glass Buckler
AATL_a_buck_glass_h,Buoyant Armiger Buckler
AATL_a_buck_iron,Iron Buckler
AATL_a_buck_netch_h,Netch Leather Buckler
AATL_a_buck_niron,Nordic Iron Buckler
NOD_hat_turban04_WAR_KHA_br,Expensive Turban
NOD_hat_turban04_WAR_KHA_w,Expensive Turban
NOD_hat_turban04_WAR_KHA_x_br,Expensive Turban (Masked)
NOD_hat_turban04_WAR_KHA_wx,Expensive Turban (Masked)
NOD_hat_WAR_KHA_MASK01,Mask
NOD_hat_WAR_KHA_MASK02,Mask
NOD_WAR_MISC_BACKPACK01a,Adventurer's Pack (Leather)
NOD_WAR_MISC_BACKPACK02a,Adventurer's Pack (Tapestry)
NOD_WAR_MISC_POUCH01,Adventurer's Satchel
NOD_WAR_MISC_POUCH04,Adventurer's Satchel
NOD_dnk_qor_cuirass,Artificer's Folly
NOD_dnk_qor_p_left,Enchanter's Left Pauldron
NOD_dnk_qor_p_right,Enchanter's Right Pauldron
NOD_dnk_missun_cuirass,Hiomaste's Legacy
NOD_dnk_sarano_cuirass,Dreamers' Bane
NOD_dnk_eno_cuirass,The Eighth Shadow
NOD_dnk_virith_cuirass,Loyalty's Embrace
NOD_dnk_virith_p_left,Virith's Left Pauldron
NOD_dnk_virith_p_right,Virith's Right Pauldron
NOD_dnk_sixth_cuirass,Heart Unmourned
NOD_dnk_hlaalu_cuirass,Pride of Narsis
NOD_dnk_mandas_cuirass,The Heart of Madness
NOD_dnk_mandas_p_left,Ebony Left Pauldron
NOD_dnk_mandas_p_right,Ebony Right Pauldron
NOD_dnk_duke_cuirass,The Duke's Ceremonial Cuirass
NOD_dnk_seanwen_cuirass,Heavy Ebony Cuirass
NOD_dnk_seanwen_p_left,Heavy Ebony Left Pauldron
NOD_dnk_seanwen_p_right,Heavy Ebony Right Pauldron
NOD_dnk_sala_cuirass,Indoril Commander Cuirass
NOD_dnk_sala_p_left,Indoril Commander L Pauldron
NOD_dnk_sala_p_right,Indoril Commander R Pauldron
NOD_dnk_duke_p_left,The Duke's Left Pauldron
NOD_dnk_duke_p_right,The Duke's Right Pauldron
NOD_dnk_dagoth_cuirass,Ancient Bonemold Cuirass
NOD_dnk_dwem_boots,Salvaged Dwarven Boots
NOD_dnk_dwem_cuirass,Salvaged Dwarven Cuirass
NOD_dnk_dwem_grv,Salvaged Dwarven Greaves
NOD_dnk_dwem_l_gaunt,Salvaged Dwarven Left Gauntlet
NOD_dnk_dwem_l_pauldron,Salvaged Dwarven Left Pauldron
NOD_dnk_dwem_mask,Salvaged Odd Mask
NOD_dnk_dwem_r_gaunt,Salvaged Dwarven Right Gauntlet
NOD_dnk_dwem_r_pauldron,Salvaged Dwarven Right Pauldron
NOD_RV_Chitin Helm D_hr,Balmhadod Shogan Chitin Helmet
NOD_RV_Chitin Helm E_ht,Miragad Moljuhn Chitin Helmet
NOD_RV_Chitin Helm F_hh,Khestis Periud Chitin Helmet
NOD_hat_netch_RV_Netchimans Cap,Netchiman's Cap
NOD_1ba_pauldron_right,Buoyant Armiger R. Pauldron
NOD_1ba_pauldron_left,Buoyant Armiger L. Pauldron
NOD_1ba_guantlet_right,Buoyant Armiger R. Gauntlet
NOD_1ba_bracer_left,Buoyant Armiger L. Bracer
NOD_1ba_greaves,Buoyant Armiger Greaves
NOD_1ba_cuirass,Buoyant Armiger Cuirass
NOD_1ba_boots,Buoyant Armiger Boots
NOD_1ba_cuirass02,Buoyant Armiger Battle Robe
NOD_1ba_helm,Buoyant Armiger Helmet
NOD_1ba_hood_,Buoyant Armiger Hood
NOD_1ba_scarf_g,Buoyant Armiger Scarf
NOD_ARdres,Dres Armored Robe
NOD_ARhlaalu,Hlaalu Armored Robe
NOD_ARimpBattlemage,Imp. Battlemage Armored Robe
NOD_ARimpOfficial,Reinforced Robe of Imp. Agent
NOD_ARindoril,Temple Armored Robe
NOD_ARindoril2,Indoril Armored Robe
NOD_ARnightblade,Nightblade Armored Robe
NOD_ARredoran,Redoran Armored Robe
NOD_ARspellsword,Spellsword Armored Robe
NOD_ARtelvanni,Telvanni Armored Robe
NOD_AR_LegionBM,Legion's Battlemage Armor
NOD_AR_IndRobe1,Indoril Armored Robe
NOD_AR_IndHelm,Indoril Helmet (opened ears)
NOD_AR_IndRobe_nC1,Indoril Armored Robe (no Cloak)
NOD_ARindoril_hood,Order of Inquisition Hood
NOD_ARindoril_hood&Mask,Order of Inquisition Hood&Mask
NOD_AR_indoril helmet2,Order of Doctrine Helmet
NOD_AR_pauldron left,Order of Inquisition Pauldron L
NOD_AR_pauldron right,Order of Inquisition Pauldron R
NOD_Mabrigash_AR01,Mabrigash Armored Robe
NOD_Mabrigash_AR02,Mabrigash Armored Robe
NOD_Mabrigash_AR04,Mabrigash Armored Robe
NOD_Mabrigash_AR03,Mabrigash Armored Robe
AdNetch Pauldron Left,Netch Adamantium Left Pauldron
AdNetch Boots,Netch Adamantium Boots
AdNetch Gauntlet Left,Netch Adamantium Left Gauntlet
AdNetch Gauntlet Right,Netch Adamantium Right Gauntlet
AdNetch Cuirass,Netch Adamantium Cuirass
AdNetch Greaves,Netch Adamantium Greaves
AdNetch Pauldron Right,Netch Adamantium Right Pauldron
AdNetch Cuirass_II,Netch Adamantium Dark Cuirass
AdNetch Cuirass_III,Netch Adamantium Light Cuirass
AdNetch Coat,Netch Adamantium Coat
AdNetch Glove Left,Netch Adamantium Left Glove
AdNetch Glove Right,Netch Adamantium Right Glove
AdNetch Pauldron Left II,Netch Adamantium L Light Paul
AdNetch Pauldron Right II,Netch Adamantium R Light Paul
AdNetch Beast Boots,Netch Adamantium Beast Boots
Adnetch Shield,Netch Adamantium Shield
NOD_RV_adamantium boots,Ceremonial Adamantium Boots
NOD_RV_adamantium_cuirass,Ceremonial Adamantium Cuirass
NOD_RV_adamantium_helmet,Ceremonial Adamantium Helm
NOD_RV_adamantium_greaves,Ceremonial Adamantium Greaves
NOD_RV_adamantium_Gauntlet_left,Ceremonial Adamantium Gauntlt.L
NOD_RV_adamantium_Gauntlet_r,Ceremonial Adamantium Gauntlt.R
NOD_RV_adamantium_pauldron_left,Ceremonial Adamantium Pauldrn.L
NOD_RV_adamantium_pauldron_r,Ceremonial Adamantium Pauldrn.R
NOD_RV_adamantium_robe_left,Ceremonial Adamantium Sleeve.L
NOD_RV_adamantium_robe_right,Ceremonial Adamantium Sleeve.R
NOD_RV_adamantium_cuirass 2,Ceremonial Adamantium Cuirass 2
NOD_RV_adamantium boots_red,Ceremonial Adamantium Boots
NOD_RV_adamantium_cuirass_red,Ceremonial Adamantium Cuirass
NOD_RV_adamantium_cuirass 2_red,Ceremonial Adamantium Cuirass
NOD_RV_adamantium_Gntlet_left_r,Ceremonial Adamantium Gauntlt.L
NOD_RV_adamantium_Gauntlet_r_r,Ceremonial Adamantium Gauntlt.R
NOD_RV_adamantium_helmet_red,Ceremonial Adamantium Helm
NOD_RV_adamantium_pauldron_l_rd,Ceremonial Adamantium Pauldrn.L
NOD_RV_adamantium_pauldron_r_r,Ceremonial Adamantium Pauldrn.R
NOD_RV_adamantium_robe_left_r,Ceremonial Adamantium Sleeve.L
NOD_RV_adamantium_robe_right_r,Ceremonial Adamantium Sleeve.R
NOD_RV_Duke's_helmet,Duke's Guard Silver Helmet
NOD_RV_Duke's_greaves,Duke's Guard Silver Greaves
NOD_RV_Duke's_Boots,Duke's Guard Silver Boots
NOD_RV_Duke's_pauld_R,Duke's Guard Silver R Pauldron
NOD_RV_Duke's_pauld_L,Duke's Guard Silver L Pauldron
NOD_RV_Duke's_Gauntlet_R,Duke's Guard Silver R Gauntlet
NOD_RV_Duke's_Gauntlet_L,Duke's Guard Silver L Gauntlet
NOD_rv_Daedric_helm_dagon,Face of the Husband of Fire
NOD_rv_Daedric_helm_molag,Face of the Forbidden Tickle
NOD_rv_Daedric_helm_sheo,Face of Comforting Tendrils 
NOD_RV_dwemscr_boots,Dwemer Scrap Boots
NOD_RV_dwemscr_bracer_left,Dwemer Scrap Left Bracer
NOD_RV_dwemscr_bracer_right,Dwemer Scrap Right Bracer
NOD_RV_dwemscr_cuirass,Dwemer Scrap Cuirass
NOD_RV_dwemscr_helmet,Dwemer Scrap Helm
NOD_RV_dwemscr_greaves,Dwemer Scrap Greaves
NOD_RV_dwemscr_pauldron_left,Dwemer Scrap Left Pauldron
NOD_RV_dwemscr_pauldron_right,Dwemer Scrap Right Pauldron
NOD_RV_HC_cuirass,Heavy Chitin Cuirass
NOD_RV_HC_greaves,Heavy Chitin Greaves
NOD_RV_HC_helmet,Heavy Chitin Helm
NOD_RV_HC_boots,Heavy Chitin Boots
NOD_RV_HC_pauldron - left,Heavy Chitin Left Pauldron
NOD_RV_HC_pauldron - right,Heavy Chitin Right Pauldron
NOD_RV_HC_guantlet - left,Heavy Chitin Left Gauntlet
NOD_RV_HC_guantlet - right,Heavy Chitin Right Gauntlet
NOD_ADMScarfRed,Expensive Scarf
NOD_ADMScarfOrange,Expensive Scarf
NOD_ADMScarfYellow,Expensive Scarf
NOD_ADMScarfGreen,Expensive Scarf
NOD_ADMScarfBlue,Expensive Scarf
NOD_ADMScarfDeepBlue,Expensive Scarf
NOD_ADMScarfPurple,Expensive Scarf
NOD_ADMScarfRose,Expensive Scarf
NOD_ADMScarfGrey,Expensive Scarf
NOD_ADMScarfBlack,Expensive Scarf
NOD_KD_FemGDia,Golden Earrings with Diamonds
NOD_KD_FemGEm,Golden Earrings with Emeralds
NOD_KD_FemGRu,Golden Earrings with Rubies
NOD_KD_FemGSa,Golden Earrings with Sapphires
NOD_KD_FemSSa,Silver Earrings with Sapphires
NOD_KD_FemSDia,Silver Earrings with Diamonds
NOD_KD_FemSEm,Silver Earrings with Emeralds
NOD_KD_FemSRu,Silver Earrings with Rubies
NOD_Earrings_01,Exquisite Earrings
NOD_Earrings_02,Simple Earrings with Pearls
NOD_Earrings_03,Expensive Earrings
NOD_Earrings_03a,Expensive Earrings
NOD_!aoi_veil_black,Black Veil
NOD_!aoi_veil_blue,Blue Veil
NOD_!aoi_veil_green,Green Veil
NOD_!aoi_veil_lavender,Lavender Veil
NOD_!aoi_veil_olive,Olive Veil
NOD_!aoi_veil_pink,Pink Veil
NOD_KD_BandCopper,Copper Band
NOD_KD_BandGold,Golden Band
NOD_KD_BandMithril,Mithril Band
NOD_KD_BandOrc,Orc Band
NOD_KD_ChainBlack,Black Chain
NOD_KD_ChainBlackGems,Black Chain with Gems
NOD_KD_ChainGold,Golden Chain
NOD_KD_ChainSilver,Silver Chain
NOD_KD_ChainSilverGems,Silver Chain with Gems
NOD_KD_ChainGoldGems,Golden Chain with Gems
NOD_KD_CircletBBlue,Black Circlet with Moonstone
NOD_KD_CircletBGreen,Black Circlet with Green Stone
NOD_KD_CircletBPearl,Black Circlet with Pearl
NOD_KD_CircletBRed,Black Circlet with Red Stone
NOD_KD_CircletBTopaz,Black Circlet with Topaz
NOD_KD_CircletGTopaz,Golden Circlet with Topaz
NOD_KD_CircletGBlue,Golden Circlet with Moonstone
NOD_KD_CircletGGreen,Golden Circlet with Green Stone
NOD_KD_CircletGPearl,Golden Circlet with Pearl
NOD_KD_CircletGRed,Golden Circlet with Red Stone
NOD_KD_CircletSTopaz,Silver Circlet with Topaz
NOD_KD_CircletSRed,Silver Circlet with Red Stone
NOD_KD_CircletSPearl,Silver Circlet with Pearl
NOD_KD_CircletSGreen,Silver Circlet with Green Stone
NOD_KD_CircletSBlue,Silver Circlet with Moonstone
NOD_KD_DiaG,Golden Diadem
NOD_KD_DiaS,Silver Diadem
NOD_KD_DiaGDia,Golden Diadem with Diamond
NOD_KD_elvDia,Elven Diadem with Diamond
NOD_KD_elvEm,Elven Diadem with Emerald
NOD_KD_elvRu,Elven Diadem with Ruby
NOD_KD_twin,Twin Golden Diadem
NOD_KD_twinS,Twin Silver Diadem
NOD_KD_DiaGEm,Golden Diadem with Emerald
NOD_KD_DiaGRu,Golden Diadem with Ruby
NOD_KD_DiaGSa,Golden Diadem with Saphire
NOD_KD_DiaSDia,Silver Diadem with Diamond
NOD_KD_DiaSEm,Silver Diadem with Emerald
NOD_KD_DiaSRu,Silver Diadem with Ruby
NOD_KD_DiaSSa,Silver Diadem with Saphire
NOD_!aoi_scarf_black,Black Silk Scarf
NOD_!aoi_scarf_blue,Blue Silk Scarf
NOD_!aoi_scarf_green,Green Silk Scarf
NOD_!aoi_scarf_purple,Purple Silk Scarf
NOD_!aoi_scarf_red,Red Silk Scarf
NOD_!aoi_scarf_silver,Silver Silk Scarf
NOD_!aoi_scarf_teal,Teal Silk Scarf
NOD_!aoi_scarf_yellow,Yellow Silk Scarf
NOD_KD_G01,Golden Piercing (left ear)
NOD_KD_G02,Golden Piercing (left ear)
NOD_KD_G03,Golden Piercing (left ear)
NOD_KD_G04,Golden Piercing (left ear)
NOD_KD_G05,Golden Piercing (left ear)
NOD_KD_G06,Golden Piercing (left ear)
NOD_KD_G01r,Golden Piercing (right ear)
NOD_KD_G06r,Golden Piercing (right ear)
NOD_KD_G05r,Golden Piercing (right ear)
NOD_KD_G04r,Golden Piercing (right ear)
NOD_KD_G03r,Golden Piercing (right ear)
NOD_KD_G02r,Golden Piercing (right ear)
NOD_KD_S06r,Silver Piercing (right ear)
NOD_KD_S06,Silver Piercing (left ear)
NOD_KD_S05r,Silver Piercing (right ear)
NOD_KD_S05,Silver Piercing (left ear)
NOD_KD_S04r,Silver Piercing (right ear)
NOD_KD_S04,Silver Piercing (left ear)
NOD_KD_S03r,Silver Piercing (right ear)
NOD_KD_S03,Silver Piercing (left ear)
NOD_KD_S02r,Silver Piercing (right ear)
NOD_KD_S02,Silver Piercing (left ear)
NOD_KD_S01r,Silver Piercing (right ear)
NOD_KD_S01,Silver Piercing (left ear)
NOD_!aoi_01black1,Dunmer Noble Wig (Black01-1)
NOD_!aoi_01black2,Dunmer Noble Wig (Black01-2)
NOD_!aoi_01brown1,Dunmer Noble Wig (Brown01-1)
NOD_!aoi_01brown2,Dunmer Noble Wig (Brown01-2)
NOD_!aoi_01red1,Dunmer Noble Wig (Red01-1)
NOD_!aoi_01red2,Dunmer Noble Wig (Red01-2
NOD_!aoi_02black1,Dunmer Noble Wig (Black02-1)
NOD_!aoi_02black2,Dunmer Noble Wig (Black02-2)
NOD_!aoi_02black3,Dunmer Noble Wig (Black02-3)
NOD_!aoi_02brown1,Dunmer Noble Wig (Brown02-1)
NOD_!aoi_02brown2,Dunmer Noble Wig (Brown02-2)
NOD_!aoi_02brown3,Dunmer Noble Wig (Brown02-3)
NOD_!aoi_02red1,Dunmer Noble Wig (Red02-1)
NOD_!aoi_02white3,Dunmer Noble Wig (White02-3)
NOD_!aoi_03black1,Dunmer Noble Wig (Black03-1)
NOD_!aoi_03black1S,Dunmer Noble Wig (Black03-1S)
NOD_!aoi_03brown1,Dunmer Noble Wig (Brown03-1)
NOD_!aoi_03red1,Dunmer Noble Wig (Red03-1)
NOD_!aoi_03white1,Dunmer Noble Wig (White03-1)
NOD_!aoi_20black1,Dres Noble Wig (Black01-1)
NOD_!aoi_20black1S,Dres Noble Wig (Black01-1S)
NOD_!aoi_20brown2,Dres Noble Wig (Brown01-2)
NOD_!aoi_20red1S,Dres Noble Wig (Red01-1S)
NOD_!aoi_20white1,Dres Noble Wig (White01-1)
NOD_!aoi_21black1,Dres Noble Wig (Black02-1)
NOD_!aoi_21black1S,Dres Noble Wig (Black02-1S)
NOD_!aoi_21brown1,Dres Noble Wig (Brown02-1)
NOD_!aoi_21brown2,Dres Noble Wig (Brown02-2)
NOD_!aoi_21white1,Dres Noble Wig (White02-1)
NOD_!aoi_22black1,Dres Noble Wig (Black03-1)
NOD_!aoi_22red1,Dres Noble Wig (Red03-1)
NOD_!aoi_23black2,Dres Noble Wig (Black04-2)
NOD_!aoi_23black2S,Dres Noble Wig (Black04-2S)
NOD_!aoi_23red1,Dres Noble Wig (Red04-1)
NOD_!aoi_11black1,Hlaalu Noble Wig (Black01)
NOD_!aoi_11black1S,Hlaalu Noble Wig (Black01-S)
NOD_!aoi_11brown1,Hlaalu Noble Wig (Brown01)
NOD_!aoi_11red1S,Hlaalu Noble Wig (Re01-1S)
NOD_!aoi_11brown1S,Hlaalu Noble Wig (Brown01-S)
NOD_!aoi_11white1,Hlaalu Noble Wig (White01-1)
NOD_!aoi_17black,Hlaalu Noble Wig (Black02)
NOD_!aoi_17blackS,Hlaalu Noble Wig (Black02-S)
NOD_!aoi_17brown,Hlaalu Noble Wig (Brown02)
NOD_!aoi_17brownS,Hlaalu Noble Wig (Brown02-S)
NOD_!aoi_17redS,Hlaalu Noble Wig (Red02-S)
NOD_!aoi_17white,Hlaalu Noble Wig (White02)
NOD_!aoi_12black1,Indoril Noble Wig (Black01-1)
NOD_!aoi_12black1S,Indoril Noble Wig (Black01-1S)
NOD_!aoi_12black2,Indoril Noble Wig (Black01-2)
NOD_!aoi_12brown1,Indoril Noble Wig (Brown01-1)
NOD_!aoi_12brown2,Indoril Noble Wig (Brown01-2)
NOD_!aoi_12red2,Indoril Noble Wig (Red01-2)
NOD_!aoi_12white2,Indoril Noble Wig (White01-2)
NOD_!aoi_24red1,Indoril Noble Wig (Red02-1)
NOD_!aoi_24black2,Indoril Noble Wig (Black02-2)
NOD_!aoi_24black3,Indoril Noble Wig (Black02-3)
NOD_!aoi_24black4,Indoril Noble Wig (Black02-4)
NOD_!aoi_24brown1,Indoril Noble Wig (Brown02-1)
NOD_!aoi_24brown2,Indoril Noble Wig (Brown02-2)
NOD_!aoi_24brown3,Indoril Noble Wig (Brown02-3)
NOD_!aoi_24red4,Indoril Noble Wig (Red02-4)
NOD_!aoi_24white1,Indoril Noble Wig (White02-1)
NOD_!aoi_13black1,Redoran Noble Wig (Black01-1)
NOD_!aoi_13black1S,Redoran Noble Wig (Black01-1S)
NOD_!aoi_13brown1,Redoran Noble Wig (Brown01-1)
NOD_!aoi_13brown1S,Redoran Noble Wig (Brown01-1S)
NOD_!aoi_13red1,Redoran Noble Wig (Red01-1)
NOD_!aoi_13white1,Redoran Noble Wig (White01-1)
NOD_!aoi_14black,Redoran Noble Wig (Black02)
NOD_!aoi_14blackS,Redoran Noble Wig (Black02-S)
NOD_!aoi_14brownS,Redoran Noble Wig (Brown02-S)
NOD_!aoi_14redS,Redoran Noble Wig (Red02-S)
NOD_!aoi_14white,Redoran Noble Wig (White02)
NOD_!aoi_16black,Redoran Noble Wig (Black03)
NOD_!aoi_16blackS,Redoran Noble Wig (Black03-S)
NOD_!aoi_16brown,Redoran Noble Wig (Brown03)
NOD_!aoi_16red,Redoran Noble Wig (Red03)
NOD_!aoi_16whiteS,Redoran Noble Wig (White03-S)
NOD_!aoi_15black,Telvanni Noble Wig (Black01)
NOD_!aoi_15blackS,Telvanni Noble Wig (Black01-S)
NOD_!aoi_15brown,Telvanni Noble Wig (Brown01)
NOD_!aoi_15brownS,Telvanni Noble Wig (Brown01-S)
NOD_!aoi_15red,Telvanni Noble Wig (Red01)
NOD_!aoi_15white,Telvanni Noble Wig (White01)
NOD_!aoi_31black1,Telvanni Noble Wig (Black02-1)
NOD_!aoi_31black2,Telvanni Noble Wig (Black02-2)
NOD_!aoi_31red2S,Telvanni Noble Wig (Red02-2S)
NOD_!aoi_31black3,Telvanni Noble Wig (Black02-3)
NOD_!aoi_31brown1,Telvanni Noble Wig (Brown02-1)
NOD_!aoi_31white2,Telvanni Noble Wig (White02-2)
NOD_!aoi_31brown3,Telvanni Noble Wig (Brown02-3)
NOD_!aoi_31brown3S,Telvanni Noble Wig (Brown02-3S)
NOD_!aoi_31red1,Telvanni Noble Wig (Red02-1)
NOD_!aoi_31white2S,Telvanni Noble Wig (White02-2S)
NOD_!aoi_35black,Hlaalu Noble Wig (Black03)
NOD_!aoi_35brown,Hlaalu Noble Wig (Brown03)
NOD_!aoi_35red,Hlaalu Noble Wig (Red03)
NOD_!aoi_35white,Hlaalu Noble Wig (White03)
NOD_!aoi_23white2,Dres Noble Wig (White04-2)
NOD_!aoi_23brown2S,Dres Noble Wig (Brown04-2S)
NOD_RV_Sacred_Necro_Boots,Sacred Necromancer Boots
NOD_RV_Sacred_Necro_Cuirass,Sacred Necromancer Cuirass
NOD_RV_Sacred_Necro_Bracer_L,Sacred Necromancer Left Bracer
NOD_RV_Sacred_Necro_Bracer_R,Sacred Necromancer Right Bracer
NOD_RV_Sacred_Necro_greaves,Sacred Necromancer Greaves
NOD_RV_Sacred_Necro_Hood,Sacred Necromancer Hood
NOD_RV_Sacred_Necro_Pauld_L,Sacred Necromancer Pauldron.L
NOD_RV_Sacred_Necro_Pauld_R,Sacred Necromancer Pauldron.R
NOD_RV_Necromask,Necromancer's Mask
NOD_RV_ArchNecromask,Arch-Necromancer's Mask
NOD_RV_Necroboots,Necromancers Boots
NOD_RV_Necrohood,Necromancer's Hood
NOD_RV_ArchNecrohood,Arch-Necromancer's Hood
NOD_RETEX_6th_robe1,RETEX 6th House Armored Robe
NOD_pb_neen-enamor_cuirass,Neen'Enamor Bonemold Cuirass
NOD_pb_neen-enamor_pauldron_l,Nee'Enamor Bonemold L Pauldron
NOD_pb_neen-enamor_pauldron_r,Nee'Enamor Bonemold R Pauldron
NOD_pb_neen-enamor_helm_01,Neen'Enamor Bonemold Mask
NOD_pb_neen-enamor_helm_02,Neen'Enamor Horned Mask
NOD_pb_neen-enamor_helm_03,Neen'Enamor Shemagh
NOD_pb_tshield_dagoth,Neen'Enamor Tower Shield
NOD_pb_tshield_dagoth_g,Neen'Enamor Sancted Shield
NOD_pb_neen-enamor_greaves,Neen'Enamor Bonemold Greaves
NOD_RETEX_6th_ar_lbcuirass2,RETEX 6th House Warrior Cuirass
AK_cloth_helm_uni,Cloth of St. Seryn
NOD_hat_ash_ah_dustmask,Ashlands Dust Mask
NOD_hat_ash_r0_gogglehood_w,Ashlands Masked Cowl
NOD_hat_mabrigash_r0_mask,Mabrigash Mask
NOD_hat_shroomcap_emperor,Emperor Mushroom Hat
NOD_hat_shroomcap_b,Blue Mushroom Hat
NOD_hat_shroomcap_br,Brown Mushroom Hat
NOD_hat_shroomcap_w,Muckpod Hat
NOD_hat_bug_g,Green Hat
NOD_hat_bug_b,Blue Bug Hat
NOD_hat_mabrigash_ah_buglord,Mabrigash Buglord Helm
NOD_hat_shroomcap_telvanni,Telvanni Mushroom Hat
NOD_hat_shroomcowl,Telvanni Cowl
NOD_hat_crab_ah_crabhatmask,Faded Crabmask
NOD_hat_turban01_RM,Common Turban
NOD_hat_turban02_RM,Common Turban
NOD_hat_turban03_RM,Common Turban
NOD_hat_crab_RM_MCrabHelm01,Crab Hat
NOD_hat_crab_RM_MCrabHelm02,Crab Hat
NOD_hat_crab_RM_MCrabHelm03,Crab Hat
NOD_RM_MCrabShield01,Crab Shield
NOD_RM_MCrabShield02,Crab Shield
NOD_RM_MCrabShield03,Crab Shield
NOD_hat_iron_RM_HeadWear04,Iron Helmet
NOD_hat_iron_RM_HeadWear05,Iron Helmet
NOD_hat_iron_RM_HeadWear06,Iron Helmet
NOD_hat_straw_RM_WickerHelmet01,Straw Helmet
NOD_hat_straw_RM_WickerHelmet02,Straw Helmet
NOD_hat_straw_RM_WickerHelmet03,Straw Helmet
NOD_RM_WickerShield01,Straw Shield
NOD_RM_WickerShield02,Straw Shield
NOD_RM_WickerShield03,Straw Shield
NOD_hat_iron_RM_HeadWear_07,Iron helmet
NOD_hat_iron_RM_HeadWear_08,Iron helmet
NOD_hat_iron_RM_HeadWear_09,Iron helmet
NOD_hat_telv_RM_HeadWear_10,Telvanni Hat
